Census 2021 Data Zone Code,Census 2021 Data Zone Label,Household Deprivation Code,Household Deprivation Label,Count
N20001629,Causeway_G4,4,Household is deprived in 3 dimensions,5
N20001629,Causeway_G4,5,Household is deprived in 4 dimensions,2
N20001630,Causeway_G5,1,Household is not deprived in any dimension,92
N20001630,Causeway_G5,2,Household is deprived in 1 dimension,48
N20001630,Causeway_G5,3,Household is deprived in 2 dimensions,16
N20001630,Causeway_G5,4,Household is deprived in 3 dimensions,3
N20001630,Causeway_G5,5,Household is deprived in 4 dimensions,0
N20001631,Causeway_H2,1,Household is not deprived in any dimension,102
N20001631,Causeway_H2,2,Household is deprived in 1 dimension,72
N20001631,Causeway_H2,3,Household is deprived in 2 dimensions,24
N20001631,Causeway_H2,4,Household is deprived in 3 dimensions,1
N20001631,Causeway_H2,5,Household is deprived in 4 dimensions,0
N20001632,Causeway_H3,1,Household is not deprived in any dimension,144
N20001632,Causeway_H3,2,Household is deprived in 1 dimension,87
N20001632,Causeway_H3,3,Household is deprived in 2 dimensions,36
N20001632,Causeway_H3,4,Household is deprived in 3 dimensions,2
N20001632,Causeway_H3,5,Household is deprived in 4 dimensions,0
N20001633,Causeway_G6,1,Household is not deprived in any dimension,102
N20001633,Causeway_G6,2,Household is deprived in 1 dimension,56
N20001633,Causeway_G6,3,Household is deprived in 2 dimensions,13
N20001633,Causeway_G6,4,Household is deprived in 3 dimensions,4
N20001633,Causeway_G6,5,Household is deprived in 4 dimensions,0
N20001634,Causeway_K2,1,Household is not deprived in any dimension,110
N20001634,Causeway_K2,2,Household is deprived in 1 dimension,84
N20001634,Causeway_K2,3,Household is deprived in 2 dimensions,42
N20001634,Causeway_K2,4,Household is deprived in 3 dimensions,9
N20001634,Causeway_K2,5,Household is deprived in 4 dimensions,1
N20001635,Causeway_H4,1,Household is not deprived in any dimension,155
N20001635,Causeway_H4,2,Household is deprived in 1 dimension,77
N20001635,Causeway_H4,3,Household is deprived in 2 dimensions,29
N20001635,Causeway_H4,4,Household is deprived in 3 dimensions,2
N20001635,Causeway_H4,5,Household is deprived in 4 dimensions,0
N20001636,Causeway_J3,1,Household is not deprived in any dimension,80
N20001636,Causeway_J3,2,Household is deprived in 1 dimension,65
N20001636,Causeway_J3,3,Household is deprived in 2 dimensions,38
N20001636,Causeway_J3,4,Household is deprived in 3 dimensions,11
N20001636,Causeway_J3,5,Household is deprived in 4 dimensions,0
N20001637,Causeway_H5,1,Household is not deprived in any dimension,122
N20001637,Causeway_H5,2,Household is deprived in 1 dimension,60
N20001637,Causeway_H5,3,Household is deprived in 2 dimensions,23
N20001637,Causeway_H5,4,Household is deprived in 3 dimensions,0
N20001637,Causeway_H5,5,Household is deprived in 4 dimensions,0
N20001638,Causeway_H6,1,Household is not deprived in any dimension,139
N20001638,Causeway_H6,2,Household is deprived in 1 dimension,67
N20001638,Causeway_H6,3,Household is deprived in 2 dimensions,29
N20001638,Causeway_H6,4,Household is deprived in 3 dimensions,10
N20001638,Causeway_H6,5,Household is deprived in 4 dimensions,0
N20001639,Causeway_L1,1,Household is not deprived in any dimension,85
N20001639,Causeway_L1,2,Household is deprived in 1 dimension,74
N20001639,Causeway_L1,3,Household is deprived in 2 dimensions,45
N20001639,Causeway_L1,4,Household is deprived in 3 dimensions,19
N20001639,Causeway_L1,5,Household is deprived in 4 dimensions,2
N20001640,Causeway_K3,1,Household is not deprived in any dimension,50
N20001640,Causeway_K3,2,Household is deprived in 1 dimension,50
N20001640,Causeway_K3,3,Household is deprived in 2 dimensions,32
N20001640,Causeway_K3,4,Household is deprived in 3 dimensions,3
N20001640,Causeway_K3,5,Household is deprived in 4 dimensions,0
N20001641,Causeway_J4,1,Household is not deprived in any dimension,35
N20001641,Causeway_J4,2,Household is deprived in 1 dimension,35
N20001641,Causeway_J4,3,Household is deprived in 2 dimensions,24
N20001641,Causeway_J4,4,Household is deprived in 3 dimensions,7
N20001641,Causeway_J4,5,Household is deprived in 4 dimensions,0
N20001642,Causeway_L2,1,Household is not deprived in any dimension,58
N20001642,Causeway_L2,2,Household is deprived in 1 dimension,78
N20001642,Causeway_L2,3,Household is deprived in 2 dimensions,60
N20001642,Causeway_L2,4,Household is deprived in 3 dimensions,27
N20001642,Causeway_L2,5,Household is deprived in 4 dimensions,1
N20001643,Causeway_J5,1,Household is not deprived in any dimension,48
N20001643,Causeway_J5,2,Household is deprived in 1 dimension,53
N20001643,Causeway_J5,3,Household is deprived in 2 dimensions,34
N20001643,Causeway_J5,4,Household is deprived in 3 dimensions,9
N20001643,Causeway_J5,5,Household is deprived in 4 dimensions,1
N20001644,Causeway_K4,1,Household is not deprived in any dimension,129
N20001644,Causeway_K4,2,Household is deprived in 1 dimension,89
N20001644,Causeway_K4,3,Household is deprived in 2 dimensions,45
N20001644,Causeway_K4,4,Household is deprived in 3 dimensions,19
N20001644,Causeway_K4,5,Household is deprived in 4 dimensions,2
N20001645,Causeway_L3,1,Household is not deprived in any dimension,83
N20001645,Causeway_L3,2,Household is deprived in 1 dimension,66
N20001645,Causeway_L3,3,Household is deprived in 2 dimensions,38
N20001645,Causeway_L3,4,Household is deprived in 3 dimensions,7
N20001645,Causeway_L3,5,Household is deprived in 4 dimensions,0
N20001646,Causeway_L4,1,Household is not deprived in any dimension,50
N20001646,Causeway_L4,2,Household is deprived in 1 dimension,33
N20001646,Causeway_L4,3,Household is deprived in 2 dimensions,18
N20001646,Causeway_L4,4,Household is deprived in 3 dimensions,8
N20001646,Causeway_L4,5,Household is deprived in 4 dimensions,0
N20001647,Causeway_K5,1,Household is not deprived in any dimension,97
N20001647,Causeway_K5,2,Household is deprived in 1 dimension,69
N20001647,Causeway_K5,3,Household is deprived in 2 dimensions,33
N20001647,Causeway_K5,4,Household is deprived in 3 dimensions,16
N20001647,Causeway_K5,5,Household is deprived in 4 dimensions,2
N20001648,Causeway_L5,1,Household is not deprived in any dimension,58
N20001648,Causeway_L5,2,Household is deprived in 1 dimension,38
N20001648,Causeway_L5,3,Household is deprived in 2 dimensions,23
N20001648,Causeway_L5,4,Household is deprived in 3 dimensions,7
N20001648,Causeway_L5,5,Household is deprived in 4 dimensions,0
N20001649,Causeway_L6,1,Household is not deprived in any dimension,59
N20001649,Causeway_L6,2,Household is deprived in 1 dimension,50
N20001649,Causeway_L6,3,Household is deprived in 2 dimensions,26
N20001649,Causeway_L6,4,Household is deprived in 3 dimensions,9
N20001649,Causeway_L6,5,Household is deprived in 4 dimensions,0
N20001650,Causeway_L7,1,Household is not deprived in any dimension,45
N20001650,Causeway_L7,2,Household is deprived in 1 dimension,47
N20001650,Causeway_L7,3,Household is deprived in 2 dimensions,32
N20001650,Causeway_L7,4,Household is deprived in 3 dimensions,16
N20001650,Causeway_L7,5,Household is deprived in 4 dimensions,1
N20001651,The_Glens_B1,1,Household is not deprived in any dimension,28
N20001651,The_Glens_B1,2,Household is deprived in 1 dimension,24
N20001651,The_Glens_B1,3,Household is deprived in 2 dimensions,18
N20001651,The_Glens_B1,4,Household is deprived in 3 dimensions,0
N20001651,The_Glens_B1,5,Household is deprived in 4 dimensions,0
N20001652,The_Glens_C1,1,Household is not deprived in any dimension,78
N20001652,The_Glens_C1,2,Household is deprived in 1 dimension,70
N20001652,The_Glens_C1,3,Household is deprived in 2 dimensions,42
N20001652,The_Glens_C1,4,Household is deprived in 3 dimensions,16
N20001652,The_Glens_C1,5,Household is deprived in 4 dimensions,2
N20001653,The_Glens_A1,1,Household is not deprived in any dimension,121
N20001653,The_Glens_A1,2,Household is deprived in 1 dimension,100
N20001653,The_Glens_A1,3,Household is deprived in 2 dimensions,41
N20001653,The_Glens_A1,4,Household is deprived in 3 dimensions,2
N20001653,The_Glens_A1,5,Household is deprived in 4 dimensions,1
N20001654,The_Glens_A2,1,Household is not deprived in any dimension,29
N20001654,The_Glens_A2,2,Household is deprived in 1 dimension,34
N20001654,The_Glens_A2,3,Household is deprived in 2 dimensions,38
N20001654,The_Glens_A2,4,Household is deprived in 3 dimensions,10
N20001654,The_Glens_A2,5,Household is deprived in 4 dimensions,3
N20001655,The_Glens_A3,1,Household is not deprived in any dimension,85
N20001655,The_Glens_A3,2,Household is deprived in 1 dimension,86
N20001655,The_Glens_A3,3,Household is deprived in 2 dimensions,40
N20001655,The_Glens_A3,4,Household is deprived in 3 dimensions,10
N20001655,The_Glens_A3,5,Household is deprived in 4 dimensions,0
N20001656,The_Glens_A4,1,Household is not deprived in any dimension,132
N20001656,The_Glens_A4,2,Household is deprived in 1 dimension,95
N20001656,The_Glens_A4,3,Household is deprived in 2 dimensions,48
N20001656,The_Glens_A4,4,Household is deprived in 3 dimensions,5
N20001656,The_Glens_A4,5,Household is deprived in 4 dimensions,0
N20001657,The_Glens_B2,1,Household is not deprived in any dimension,62
N20001657,The_Glens_B2,2,Household is deprived in 1 dimension,44
N20001657,The_Glens_B2,3,Household is deprived in 2 dimensions,20
N20001657,The_Glens_B2,4,Household is deprived in 3 dimensions,11
N20001657,The_Glens_B2,5,Household is deprived in 4 dimensions,2
N20001658,The_Glens_C2,1,Household is not deprived in any dimension,81
N20001658,The_Glens_C2,2,Household is deprived in 1 dimension,86
N20001658,The_Glens_C2,3,Household is deprived in 2 dimensions,38
N20001658,The_Glens_C2,4,Household is deprived in 3 dimensions,12
N20001658,The_Glens_C2,5,Household is deprived in 4 dimensions,2
N20001659,The_Glens_B3,1,Household is not deprived in any dimension,73
N20001659,The_Glens_B3,2,Household is deprived in 1 dimension,66
N20001659,The_Glens_B3,3,Household is deprived in 2 dimensions,39
N20001659,The_Glens_B3,4,Household is deprived in 3 dimensions,15
N20001659,The_Glens_B3,5,Household is deprived in 4 dimensions,6
N20001660,The_Glens_A5,1,Household is not deprived in any dimension,155
N20001660,The_Glens_A5,2,Household is deprived in 1 dimension,110
N20001660,The_Glens_A5,3,Household is deprived in 2 dimensions,62
N20001660,The_Glens_A5,4,Household is deprived in 3 dimensions,10
N20001660,The_Glens_A5,5,Household is deprived in 4 dimensions,0
N20001661,The_Glens_B4,1,Household is not deprived in any dimension,49
N20001661,The_Glens_B4,2,Household is deprived in 1 dimension,58
N20001661,The_Glens_B4,3,Household is deprived in 2 dimensions,42
N20001661,The_Glens_B4,4,Household is deprived in 3 dimensions,20
